Instrument,DSPLY_NMLL,COUNTRY
ADACOV=ECI,NCOV19 Act Cases RTR,AND
ADCCOV=ECI,NCOV19 Tot Cases RTR,AND
ADCOVD=ECI,COVID19 Tot Cases WHO,AND
ADDCOV=ECI,NCOV19 Deaths RTR,AND
ADNCOV=ECI,NCOV19 New Cases RTR,AND
ADRCOV=ECI,NCOV19 Recovered RTR,AND
AEACOV=ECI,NCOV19 Act Cases RTR,ARE
AECCOV=ECI,NCOV19 Tot Cases RTR,ARE
AECOVD=ECI,COVID19 Tot Cases WHO,ARE
AEDCOV=ECI,NCOV19 Deaths RTR,ARE
AENCOV=ECI,NCOV19 New Cases RTR,ARE
AERCOV=ECI,NCOV19 Recovered RTR,ARE
AFACOV=ECI,NCOV19 Act Cases RTR,AFG
AFCCOV=ECI,NCOV19 Tot Cases RTR,AFG
AFCOVD=ECI,COVID19 Tot Cases WHO,AFG
AFDCOV=ECI,NCOV19 Deaths RTR,AFG
AFNCOV=ECI,NCOV19 New Cases RTR,AFG
AFRCOV=ECI,NCOV19 Recovered RTR,AFG
AGACOV=ECI,NCOV19 Act Cases RTR,ATG
AGCCOV=ECI,NCOV19 Tot Cases RTR,ATG
AGCOVD=ECI,COVID19 Tot Cases WHO,ATG
AGDCOV=ECI,NCOV19 Deaths RTR,ATG
AGNCOV=ECI,NCOV19 New Cases RTR,ATG
AGRCOV=ECI,NCOV19 Recovered RTR,ATG
AIACOV=ECI,NCOV19 Act Cases RTR,AIA
AICCOV=ECI,NCOV19 Tot Cases RTR,AIA
AICOVD=ECI,COVID19 Tot Cases WHO,AIA
AIDCOV=ECI,NCOV19 Deaths RTR,AIA
AINCOV=ECI,NCOV19 New Cases RTR,AIA
AIRCOV=ECI,NCOV19 Recovered RTR,AIA
ALACOV=ECI,NCOV19 Act Cases RTR,ALB
ALCCOV=ECI,NCOV19 Tot Cases RTR,ALB
ALCOVD=ECI,COVID19 Tot Cases WHO,ALB
ALDCOV=ECI,NCOV19 Deaths RTR,ALB
ALNCOV=ECI,NCOV19 New Cases RTR,ALB
ALRCOV=ECI,NCOV19 Recovered RTR,ALB
AMACOV=ECI,NCOV19 Act Cases RTR,ARM
AMCCOV=ECI,NCOV19 Tot Cases RTR,ARM
AMCOVD=ECI,COVID19 Tot Cases WHO,ARM
AMDCOV=ECI,NCOV19 Deaths RTR,ARM
AMNCOV=ECI,NCOV19 New Cases RTR,ARM
AMRCOV=ECI,NCOV19 Recovered RTR,ARM
AOACOV=ECI,NCOV19 Act Cases RTR,AGO
AOCCOV=ECI,NCOV19 Tot Cases RTR,AGO
AOCOVD=ECI,COVID19 Tot Cases WHO,AGO
AODCOV=ECI,NCOV19 Deaths RTR,AGO
AONCOV=ECI,NCOV19 New Cases RTR,AGO
AORCOV=ECI,NCOV19 Recovered RTR,AGO
ARACOV=ECI,NCOV19 Act Cases RTR,ARG
